"Data Dictionary",""
"",""
"--- Time and Location Data ---",""
"timestamp_iso","The exact date and time the record was created on the device (in ISO 8601 format)."
"gps_time_utc","The precise Coordinated Universal Time (UTC) provided by the GPS satellites, used for global time synchronization."
"latitude","The north/south geographic coordinate of the device."
"longitude","The east/west geographic coordinate of the device."
"speed_kmh","The current speed of the vehicle in kilometers per hour."
"heading_deg","The compass direction (0-360 degrees) the vehicle is traveling."
"altitude_m","The elevation of the device above sea level, measured in meters."
"",""
"--- GPS Quality Metrics ---",""
"satellites","The number of GPS satellites the device is currently locked onto. A higher number generally means better location accuracy."
"hdop","Horizontal Dilution of Precision. This is a measure of GPS accuracy. A lower value (typically 1 or 2) indicates high precision, while a higher value indicates lower accuracy."
"",""
"--- Distance Data ---",""
"distance_m","The distance (in meters) of the segment or between points."
"cumulative_distance_m","The cumulative distance (in meters) traveled since the start of the recording session."
"",""
"--- Sensor (IMU) Data ---","These represent the readings from the device's Inertial Measurement Unit (IMU), which detects vibrations caused by road roughness."
"rms_accel_z","RMS vertical acceleration for segments."
"max_accel_z","Max vertical acceleration for segments."
"avg_accel_z","Average vertical acceleration for segments."
"sample_count","Number of samples for segments."
"",""
"--- Road Roughness (IRI) Analytics ---",""
"iri_value","The calculated International Roughness Index. If 0, the vehicle is stationary or the processing engine has not yet begun reporting roughness."
"iri_class","A categorical label (e.g., ""D"") representing the road surface condition based on the IRI value."
"quality_score","A numerical score reflecting the reliability of the IRI calculation."
"quality_grade","A letter grade (e.g., ""F"") summarizing the confidence in the measurement."
"sensor_rate_hz","The sampling frequency of your sensors, measured in Hertz (Hz). e.g., 100 means the device is capturing 100 sensor readings every second."
"",""
"--------------------------------------------------------------------------------------------------------------------------------",""
segment_index,timestamp_iso,gps_time_utc,start_lat,start_lng,end_lat,end_lng,avg_speed_kmh,heading_deg,altitude_m,satellites,hdop,distance_m,cumulative_distance_m,rms_accel_z,max_accel_z,avg_accel_z,sample_count,iri_value,raw_iri,iri_class,iri_standard,quality_score,quality_grade,sensor_rate_hz
15,2026-07-24T14:18:51.174+05:30,2026-07-24T08:48:51.174Z,30.646155,76.685952,30.646155,76.686116,27.99,92,249.04,58,0,15.74,468.16,10.626335,26.767176,9.619959,253,5.0692,3.9534,C,WORLD_BANK,100,C,125
16,2026-07-24T14:18:53.128+05:30,2026-07-24T08:48:53.128Z,30.646155,76.686116,30.646162,76.686252,22.428,86,248.76,58,0,13.08,481.24,9.960644,13.342886,9.907103,253,4.3544,5.0924,C,WORLD_BANK,50,C,125.4
17,2026-07-24T14:18:56.159+05:30,2026-07-24T08:48:56.159Z,30.646162,76.686252,30.646128,76.686386,15.048,116,248.17,57,0,13.43,494.67,10.220259,20.987572,9.703104,378,8.6564,5.0924,E,WORLD_BANK,50,E,125
18,2026-07-24T14:18:59.193+05:30,2026-07-24T08:48:59.193Z,30.646128,76.686386,30.646117,76.68649,12.708,93,248.77,58,0,10.11,504.78,9.679408,11.324574,9.662871,378,13.9416,6.5471,E,WORLD_BANK,76.97,E,125.4
19,2026-07-24T14:19:02.167+05:30,2026-07-24T08:49:02.167Z,30.646117,76.68649,30.646114,76.686611,15.06,90,247.74,59,0,11.62,516.4,9.627213,11.494562,9.604064,377,7.7242,6.5471,D,WORLD_BANK,76.97,D,125
20,2026-07-24T14:19:04.178+05:30,2026-07-24T08:49:04.178Z,30.646114,76.686611,30.646105,76.686742,23.436,94,248.49,58,0,12.56,528.97,9.562108,14.049175,9.26081,252,4.4472,6.4268,C,WORLD_BANK,50,C,124.9
21,2026-07-24T14:19:06.186+05:30,2026-07-24T08:49:06.186Z,30.646105,76.686742,30.646081,76.686896,26.586,98,248.5,59,0,14.95,543.92,10.063623,16.189592,9.900978,251,6.0557,6.4268,D,WORLD_BANK,50,D,125
22,2026-07-24T14:19:08.187+05:30,2026-07-24T08:49:08.187Z,30.646081,76.686896,30.646058,76.687049,26.748,99,248.6,61,0,14.85,558.77,9.501957,15.71554,9.242877,253,2.3531,6.1644,B,WORLD_BANK,100,B,124.9
23,2026-07-24T14:19:10.150+05:30,2026-07-24T08:49:10.150Z,30.646058,76.687049,30.646033,76.687209,28.242,98,248.08,60,0,15.57,574.33,10.756882,27.787106,10.074982,251,5.4763,6.1644,C,WORLD_BANK,100,C,125.3
24,2026-07-24T14:19:12.174+05:30,2026-07-24T08:49:12.174Z,30.646033,76.687209,30.646014,76.687371,28.962,96,248.81,59,0,15.59,589.93,9.817739,11.336545,9.791093,251,4.5949,6.1644,C,WORLD_BANK,100,C,124.9
25,2026-07-24T14:19:14.162+05:30,2026-07-24T08:49:14.162Z,30.646014,76.687371,30.645999,76.687538,28.782,97,248.96,59,0,16.12,606.04,9.441847,12.263102,9.35365,251,1.3774,5.9922,A,WORLD_BANK,100,A,125
26,2026-07-24T14:19:16.200+05:30,2026-07-24T08:49:16.200Z,30.645999,76.687538,30.645978,76.687717,31.572,96,248.88,58,0,17.27,623.31,10.884053,31.660923,10.084974,253,5.7278,5.9922,C,WORLD_BANK,100,C,125
27,2026-07-24T14:19:18.185+05:30,2026-07-24T08:49:18.185Z,30.645978,76.687717,30.645962,76.687903,33.048,95,249.35,59,0,17.92,641.23,9.793675,11.525687,9.775526,252,0.9995,3.9432,A,WORLD_BANK,100,A,125
28,2026-07-24T14:19:20.197+05:30,2026-07-24T08:49:20.197Z,30.645962,76.687903,30.645947,76.688093,33.588,94,249.28,60,0,18.21,659.44,9.887217,13.165715,9.835199,251,1.9062,3.9432,A,WORLD_BANK,100,A,124.9
29,2026-07-24T14:19:22.197+05:30,2026-07-24T08:49:22.197Z,30.645947,76.688093,30.645927,76.688286,34.326,95,249.41,58,0,18.61,678.05,9.798374,12.366052,9.710205,251,1.3749,3.9432,A,WORLD_BANK,100,A,124.9
30,2026-07-24T14:19:24.102+05:30,2026-07-24T08:49:24.102Z,30.645927,76.688286,30.645912,76.688489,34.614,95,249.26,58,0,19.47,697.52,10.521972,19.436129,10.163177,126,2.4136,2.5138,B,WORLD_BANK,100,B,125
31,2026-07-24T14:19:26.109+05:30,2026-07-24T08:49:26.109Z,30.645912,76.688489,30.645891,76.688691,34.65,98,248.97,58,0,19.47,716.98,9.774733,13.520057,9.597972,250,4.5162,2.5138,C,WORLD_BANK,100,C,125
32,2026-07-24T14:19:27.151+05:30,2026-07-24T08:49:27.151Z,30.645891,76.688691,30.645878,76.688795,34.668,98,249,58,0,10.11,727.09,9.796983,10.682928,9.790138,126,1.4277,2.5138,A,WORLD_BANK,100,A,125
33,2026-07-24T14:19:29.165+05:30,2026-07-24T08:49:29.165Z,30.645878,76.688795,30.645863,76.689,34.632,95,249.25,57,0,19.69,746.78,9.815379,13.338098,9.726531,375,1.3405,2.0659,A,WORLD_BANK,100,A,124.5
34,2026-07-24T14:19:31.155+05:30,2026-07-24T08:49:31.155Z,30.645863,76.689,30.645847,76.6892,34.83,95,249.31,57,0,19.19,765.97,9.775632,11.432313,9.737408,126,2.3402,2.0659,B,WORLD_BANK,100,B,125
35,2026-07-24T14:19:33.145+05:30,2026-07-24T08:49:33.145Z,30.645847,76.6892,30.645832,76.689406,35.064,97,249.37,58,0,19.81,785.78,9.856381,11.473015,9.831282,250,0.934,2.0477,A,WORLD_BANK,100,A,124.9
36,2026-07-24T14:19:35.103+05:30,2026-07-24T08:49:35.103Z,30.645832,76.689406,30.645829,76.689607,34.704,94,249.18,57,0,19.28,805.06,9.899901,14.72434,9.685004,251,1.5526,2.0477,A,WORLD_BANK,100,A,124.9
37,2026-07-24T14:19:37.203+05:30,2026-07-24T08:49:37.203Z,30.645829,76.689607,30.645835,76.689814,35.334,86,249.4,58,0,19.79,824.85,9.825908,13.699622,9.740956,376,0.6774,2.0477,A,WORLD_BANK,100,A,124.9
38,2026-07-24T14:19:39.196+05:30,2026-07-24T08:49:39.196Z,30.645835,76.689814,30.645832,76.690017,35.028,90,249.44,59,0,19.43,844.28,9.376985,10.785878,9.357889,126,1.2719,1.4115,A,WORLD_BANK,50,A,124.9
39,2026-07-24T14:19:41.186+05:30,2026-07-24T08:49:41.186Z,30.645832,76.690017,30.645819,76.690219,34.794,92,249.75,59,0,19.38,863.66,9.891626,11.903971,9.839091,251,1.0189,1.4115,A,WORLD_BANK,50,A,124.9
40,2026-07-24T14:19:43.202+05:30,2026-07-24T08:49:43.202Z,30.645819,76.690219,30.645812,76.690419,34.902,92,249.65,58,0,19.17,882.83,9.581984,10.924743,9.569634,252,1.1629,1.0874,A,WORLD_BANK,50,A,124.9
41,2026-07-24T14:19:44.197+05:30,2026-07-24T08:49:44.197Z,30.645812,76.690419,30.645806,76.690524,35.028,92,249.34,58,0,10.01,892.84,10.106453,14.188039,9.875029,125,1.2707,1.0874,A,WORLD_BANK,50,A,124.9
42,2026-07-24T14:19:46.197+05:30,2026-07-24T08:49:46.197Z,30.645806,76.690524,30.645803,76.690733,34.812,91,249.66,59,0,20.02,912.85,9.773801,13.76666,9.691211,250,1.3793,1.0874,A,WORLD_BANK,50,A,124.9
43,2026-07-24T14:19:48.186+05:30,2026-07-24T08:49:48.186Z,30.645803,76.690733,30.645804,76.690929,34.092,90,249.75,59,0,18.77,931.62,9.646136,12.071565,9.612329,251,1.0236,1.1056,A,WORLD_BANK,100,A,124.9
44,2026-07-24T14:19:50.205+05:30,2026-07-24T08:49:50.205Z,30.645804,76.690929,30.645802,76.691128,34.632,91,249.98,59,0,19.07,950.69,9.863788,12.49055,9.807032,251,1.4128,1.1056,A,WORLD_BANK,100,A,125
45,2026-07-24T14:19:52.155+05:30,2026-07-24T08:49:52.155Z,30.645802,76.691128,30.645798,76.691316,32.724,91,249.36,59,0,17.98,968.67,9.693635,11.334151,9.673157,251,0.9182,1.1056,A,WORLD_BANK,100,A,124.9
46,2026-07-24T14:19:54.158+05:30,2026-07-24T08:49:54.158Z,30.645798,76.691316,30.645795,76.691498,32.004,90,249.03,59,0,17.39,986.06,9.716501,11.35091,9.685643,251,1.0968,1.1657,A,WORLD_BANK,100,A,124.9
47,2026-07-24T14:19:56.180+05:30,2026-07-24T08:49:56.180Z,30.645795,76.691498,30.6458,76.691685,32.598,90,249.27,59,0,17.94,1004,9.793527,13.280637,9.731089,250,1.4913,1.1657,A,WORLD_BANK,100,A,124.9
48,2026-07-24T14:19:58.177+05:30,2026-07-24T08:49:58.177Z,30.6458,76.691685,30.645803,76.691873,32.292,88,249.06,59,0,17.93,1021.93,9.606048,12.749125,9.563901,251,0.992,1.1491,A,WORLD_BANK,100,A,125
49,2026-07-24T14:20:00.198+05:30,2026-07-24T08:50:00.198Z,30.645803,76.691873,30.64581,76.692062,32.454,88,249.74,58,0,18.18,1040.11,9.804731,12.46182,9.764461,251,0.9022,1.1491,A,WORLD_BANK,100,A,124.9
50,2026-07-24T14:20:02.156+05:30,2026-07-24T08:50:02.156Z,30.64581,76.692062,30.645811,76.692251,32.58,88,249.62,61,0,18.01,1058.13,9.697657,11.020511,9.683985,252,0.8074,1.1491,A,WORLD_BANK,100,A,124.8
51,2026-07-24T14:20:04.188+05:30,2026-07-24T08:50:04.188Z,30.645811,76.692251,30.645818,76.69244,32.994,87,249.22,59,0,18.17,1076.3,10.075101,13.730747,9.957952,251,1.8004,1.2586,A,WORLD_BANK,50,A,124.9
52,2026-07-24T14:20:06.206+05:30,2026-07-24T08:50:06.206Z,30.645818,76.69244,30.645833,76.692632,33.048,86,249.23,59,0,18.36,1094.65,9.400956,13.450625,9.325149,251,1.7108,1.2586,A,WORLD_BANK,50,A,124.9
53,2026-07-24T14:20:08.181+05:30,2026-07-24T08:50:08.181Z,30.645833,76.692632,30.645847,76.692817,32.166,85,249.27,59,0,17.79,1112.45,9.800631,14.587871,9.677764,251,1.6922,1.3581,A,WORLD_BANK,50,A,125
54,2026-07-24T14:20:10.208+05:30,2026-07-24T08:50:10.208Z,30.645847,76.692817,30.645855,76.692997,31.41,86,249.48,60,0,17.26,1129.71,9.995255,15.895105,9.668607,251,2.0987,1.3581,B,WORLD_BANK,50,B,124.9
55,2026-07-24T14:20:12.194+05:30,2026-07-24T08:50:12.194Z,30.645855,76.692997,30.645861,76.693173,30.852,88,249.36,61,0,16.82,1146.52,9.720073,12.722788,9.637783,252,2.7792,1.3581,B,WORLD_BANK,50,B,125
56,2026-07-24T14:20:14.203+05:30,2026-07-24T08:50:14.203Z,30.645861,76.693173,30.645874,76.693352,31.122,86,249.25,61,0,17.23,1163.75,9.733973,11.118672,9.713494,253,1.735,1.8871,A,WORLD_BANK,100,A,124.9
57,2026-07-24T14:20:16.193+05:30,2026-07-24T08:50:16.193Z,30.645874,76.693352,30.645879,76.693537,31.59,85,249.24,60,0,17.68,1181.43,9.660675,11.628637,9.633588,250,1.1783,1.8871,A,WORLD_BANK,100,A,124.9
58,2026-07-24T14:20:18.198+05:30,2026-07-24T08:50:18.198Z,30.645879,76.693537,30.64589,76.69372,31.302,85,249.2,61,0,17.55,1198.98,9.664488,11.525687,9.625368,251,1.2752,1.6833,A,WORLD_BANK,100,A,125
59,2026-07-24T14:20:20.210+05:30,2026-07-24T08:50:20.210Z,30.64589,76.69372,30.645902,76.693908,31.626,85,249.18,61,0,18.02,1217,9.973927,15.488091,9.859801,250,2.0349,1.6833,B,WORLD_BANK,100,B,125
60,2026-07-24T14:20:22.200+05:30,2026-07-24T08:50:22.200Z,30.645902,76.693908,30.645917,76.694098,32.346,85,249.61,60,0,18.28,1235.28,9.42707,11.777079,9.399018,252,1.2748,1.6833,A,WORLD_BANK,100,A,124.9
61,2026-07-24T14:20:24.183+05:30,2026-07-24T08:50:24.183Z,30.645917,76.694098,30.645936,76.694286,33.03,83,249.37,61,0,18.09,1253.37,9.976153,13.438654,9.942996,252,1.0453,1.5318,A,WORLD_BANK,100,A,124.9
62,2026-07-24T14:20:26.180+05:30,2026-07-24T08:50:26.180Z,30.645936,76.694286,30.645952,76.694483,33.678,84,249.24,61,0,18.98,1272.35,9.779425,15.603012,9.705999,252,1.3584,1.5318,A,WORLD_BANK,100,A,124.9
63,2026-07-24T14:20:28.143+05:30,2026-07-24T08:50:28.143Z,30.645952,76.694483,30.645972,76.694675,33.57,83,249.26,61,0,18.44,1290.79,9.64837,11.370064,9.613565,252,0.9414,1.3353,A,WORLD_BANK,100,A,125
64,2026-07-24T14:20:30.191+05:30,2026-07-24T08:50:30.191Z,30.645972,76.694675,30.645991,76.694869,33.75,82,249.31,60,0,18.7,1309.49,9.908526,13.819332,9.821073,250,1.4276,1.3353,A,WORLD_BANK,100,A,124.5
65,2026-07-24T14:20:32.192+05:30,2026-07-24T08:50:32.192Z,30.645991,76.694869,30.646003,76.695059,34.182,84,249.26,61,0,18.26,1327.75,9.568998,13.048399,9.498659,253,1.6328,1.3353,A,WORLD_BANK,100,A,125.2
66,2026-07-24T14:20:34.136+05:30,2026-07-24T08:50:34.136Z,30.646003,76.695059,30.646018,76.695258,34.2,84,249.51,61,0,19.09,1346.84,9.693802,16.934189,9.472199,250,1.8326,1.4101,A,WORLD_BANK,100,A,124.6
67,2026-07-24T14:20:36.183+05:30,2026-07-24T08:50:36.183Z,30.646018,76.695258,30.646038,76.695454,34.74,83,249.55,61,0,18.9,1365.74,9.795966,11.324574,9.777872,253,1.5053,1.4101,A,WORLD_BANK,100,A,125.4
68,2026-07-24T14:20:38.152+05:30,2026-07-24T08:50:38.152Z,30.646038,76.695454,30.646055,76.695646,32.328,84,249.29,60,0,18.5,1384.24,9.743067,13.575124,9.670736,250,1.1724,1.4804,A,WORLD_BANK,100,A,124.4
69,2026-07-24T14:20:40.222+05:30,2026-07-24T08:50:40.222Z,30.646055,76.695646,30.646113,76.695792,26.442,68,249.39,60,0,15.45,1399.69,9.854632,11.365275,9.828751,251,1.3949,1.4804,A,WORLD_BANK,100,A,125
70,2026-07-24T14:20:42.208+05:30,2026-07-24T08:50:42.208Z,30.646113,76.695792,30.646209,76.695879,23.436,40,249.41,60,0,13.7,1413.39,10.217131,23.784,9.924472,251,3.5677,1.4804,B,WORLD_BANK,100,B,124.9
71,2026-07-24T14:20:44.210+05:30,2026-07-24T08:50:44.210Z,30.646209,76.695879,30.64632,76.695896,22.572,5,249.29,60,0,12.5,1425.9,9.724687,11.252748,9.687582,250,4.4762,1.9851,C,WORLD_BANK,50,C,125
72,2026-07-24T14:20:46.216+05:30,2026-07-24T08:50:46.216Z,30.64632,76.695896,30.646425,76.695881,21.888,355,249.17,59,0,11.76,1437.66,10.057785,19.462465,9.905242,251,3.8603,1.9851,B,WORLD_BANK,50,B,124.9
73,2026-07-24T14:20:48.186+05:30,2026-07-24T08:50:48.186Z,30.646425,76.695881,30.646521,76.69584,20.25,343,248.92,60,0,11.41,1449.07,9.743007,12.337321,9.709795,251,3.0254,2.5118,B,WORLD_BANK,50,B,125.4
74,2026-07-24T14:20:51.204+05:30,2026-07-24T08:50:51.204Z,30.646521,76.69584,30.646616,76.695764,15.6,319,248.52,59,0,12.93,1462,9.968774,17.554287,9.671091,376,7.1922,2.5118,D,WORLD_BANK,50,D,124.9
75,2026-07-24T14:20:54.193+05:30,2026-07-24T08:50:54.193Z,30.646616,76.695764,30.6467,76.695686,13.896,318,248.23,59,0,11.93,1473.94,10.214695,20.606894,9.749734,378,26.2545,6.9876,E,WORLD_BANK,75.62,E,125.4
76,2026-07-24T14:20:57.221+05:30,2026-07-24T08:50:57.221Z,30.6467,76.695686,30.646808,76.695584,18.756,321,248.08,58,0,15.52,1489.46,9.702209,11.870452,9.652196,377,21.0789,6.9876,E,WORLD_BANK,75.62,E,124.9
77,2026-07-24T14:20:59.198+05:30,2026-07-24T08:50:59.198Z,30.646808,76.695584,30.646898,76.695505,24.12,323,248.41,58,0,12.48,1501.93,9.70769,14.379576,9.584075,252,4.8153,8.6654,C,WORLD_BANK,100,C,125
78,2026-07-24T14:21:01.202+05:30,2026-07-24T08:51:01.202Z,30.646898,76.695505,30.64701,76.695408,28.458,323,248.57,58,0,15.58,1517.52,9.793706,12.552799,9.732334,251,3.4689,8.6654,B,WORLD_BANK,100,B,125
79,2026-07-24T14:21:03.190+05:30,2026-07-24T08:51:03.190Z,30.64701,76.695408,30.64713,76.695302,29.898,323,248.79,58,0,16.75,1534.27,9.795055,11.48738,9.777138,251,1.0479,8.3281,A,WORLD_BANK,100,A,124.9
80,2026-07-24T14:21:05.178+05:30,2026-07-24T08:51:05.178Z,30.64713,76.695302,30.647254,76.695195,32.022,324,248.54,59,0,17.16,1551.42,9.649611,11.190498,9.626268,252,1.3041,8.3281,A,WORLD_BANK,100,A,124.9
81,2026-07-24T14:21:07.198+05:30,2026-07-24T08:51:07.198Z,30.647254,76.695195,30.647384,76.695079,33.858,323,248.49,58,0,18.23,1569.65,9.692333,13.737929,9.603324,251,1.3972,8.3281,A,WORLD_BANK,100,A,125.1
82,2026-07-24T14:21:09.192+05:30,2026-07-24T08:51:09.192Z,30.647384,76.695079,30.647521,76.694968,33.714,324,248.6,59,0,18.59,1588.24,9.868074,17.551893,9.719381,251,2.0688,6.4553,B,WORLD_BANK,100,B,124.5
83,2026-07-24T14:21:11.196+05:30,2026-07-24T08:51:11.196Z,30.647521,76.694968,30.647658,76.694861,32.832,327,248.57,58,0,18.38,1606.61,10.0906,18.904617,9.781325,251,2.8958,6.4553,B,WORLD_BANK,100,B,125.5
84,2026-07-24T14:21:13.189+05:30,2026-07-24T08:51:13.189Z,30.647658,76.694861,30.64779,76.694763,31.104,328,248.54,57,0,17.37,1623.99,10.597386,27.559656,9.786936,252,4.5035,2.4311,C,WORLD_BANK,50,C,124.9
85,2026-07-24T14:21:15.202+05:30,2026-07-24T08:51:15.202Z,30.64779,76.694763,30.647909,76.69466,30.078,324,248.74,59,0,16.55,1640.54,9.759339,14.523228,9.663266,250,4.4774,2.4311,C,WORLD_BANK,50,C,125
86,2026-07-24T14:21:17.209+05:30,2026-07-24T08:51:17.209Z,30.647909,76.69466,30.648031,76.694557,29.628,320,248.81,59,0,16.74,1657.28,9.853229,17.415422,9.638091,253,3.0079,2.4311,B,WORLD_BANK,50,B,124.9
87,2026-07-24T14:21:19.197+05:30,2026-07-24T08:51:19.197Z,30.648031,76.694557,30.648147,76.694451,28.962,321,248.68,59,0,16.43,1673.71,9.79213,10.924743,9.779226,253,2.044,2.7453,B,WORLD_BANK,100,B,124.9
88,2026-07-24T14:21:21.201+05:30,2026-07-24T08:51:21.201Z,30.648147,76.694451,30.648259,76.694351,28.332,324,248.92,59,0,15.61,1689.33,9.539409,11.022904,9.46054,251,0.9974,2.7453,A,WORLD_BANK,100,A,124.9
89,2026-07-24T14:21:23.154+05:30,2026-07-24T08:51:23.154Z,30.648259,76.694351,30.64837,76.694255,27.828,323,248.89,59,0,15.5,1704.83,10.271565,21.638796,9.962197,251,4.6182,2.903,C,WORLD_BANK,100,C,124.9
90,2026-07-24T14:21:25.168+05:30,2026-07-24T08:51:25.168Z,30.64837,76.694255,30.648485,76.694163,27.594,324,248.79,58,0,15.51,1720.33,10.161058,19.902998,9.738115,251,3.5923,2.903,B,WORLD_BANK,100,B,124.9
91,2026-07-24T14:21:27.186+05:30,2026-07-24T08:51:27.186Z,30.648485,76.694163,30.648595,76.69407,27.378,323,248.78,57,0,15.06,1735.39,10.731725,30.995335,9.755284,251,4.8682,2.903,C,WORLD_BANK,100,C,124.9
92,2026-07-24T14:21:29.194+05:30,2026-07-24T08:51:29.194Z,30.648595,76.69407,30.648707,76.693969,27.648,322,248.84,59,0,15.85,1751.24,10.248836,26.408045,9.558774,252,10.5098,4.6362,E,WORLD_BANK,100,E,124.9
93,2026-07-24T14:21:31.163+05:30,2026-07-24T08:51:31.163Z,30.648707,76.693969,30.648817,76.693873,28.044,323,249.04,57,0,15.3,1766.54,9.720494,13.713987,9.562565,252,2.0965,4.6362,B,WORLD_BANK,100,B,124.9
94,2026-07-24T14:21:33.220+05:30,2026-07-24T08:51:33.220Z,30.648817,76.693873,30.648934,76.693775,29.052,323,248.93,59,0,16.05,1782.59,10.109373,14.001291,9.977039,251,3.5082,4.8993,B,WORLD_BANK,50,B,124.9
